Policy_ID,Customer_Age,Gender,Policy_Type,Annual_Income,Claim_History,Fraudulent_Claim,Premium_Amount,Claim_Amount,Risk_Score
POL000187,32.0,Female,Auto,38837.54,0,1,4636.44,14660.01,High
POL000188,32.0,Female,,63373.1,1,0,1266.77,12634.75,Low
POL000189,43.0,Male,Life,102112.51,3,0,4039.12,3281.03,Medium
POL000190,59.0,Male,Health,74370.28,0,0,4941.12,14559.91,Low
POL000191,77.0,Female,Health,90692.01,3,0,2108.81,12494.96,Medium
POL000192,30.0,Male,Health,116616.05,0,0,2143.6,4087.46,Low
POL000193,68.0,Female,Health,81593.89,1,0,613.09,1712.46,Low
POL000194,95.0,Male,Health,61030.01,2,0,3771.59,2626.38,Medium
POL000195,56.0,Male,Life,86681.31,0,0,4221.05,3708.81,Low
POL000196,66.0,Male,Property,61392.6,0,0,709.77,3642.43,Low
POL000197,69.0,,,62389.43,0,0,4753.78,342.56,Low
POL000198,78.0,Male,Life,37002.68,1,0,830.61,10757.99,Low
POL000199,49.0,,Life,,2,0,3059.87,14658.29,Medium
POL000200,21.0,Female,Property,65349.94,1,0,4673.05,4367.87,Low
POL000201,47.0,Other,Life,79552.46,1,0,4677.64,342.55,Low
POL000202,54.0,Female,Life,49100.95,0,0,1099.67,13782.82,Low
POL000203,40.0,Female,Property,85898.69,0,0,4870.95,3172.38,Low
POL000204,56.0,Male,Life,55951.47,2,0,1716.92,206.6,Medium
POL000205,62.0,Other,Health,71457.28,2,0,2037.39,3439.42,Medium
POL000206,32.0,Male,Auto,96945.65,4,0,3538.02,1649.84,High
POL000207,60.0,,,94768.98,0,1,4954.15,19717.36,High
POL000208,46.0,Other,Auto,74449.25,5,0,2904.33,124.46,High
POL000209,53.0,Female,Life,30796.72,3,0,4171.89,6676.14,Medium
POL000210,30.0,Other,Life,149820.26,2,0,2732.87,7430.09,Medium
POL000211,49.0,Female,Health,118646.47,3,0,774.77,11784.62,Medium
POL000212,24.0,Male,Property,93066.87,1,1,4531.42,19658.95,High
POL000213,76.0,Male,Auto,56169.91,1,1,5659.93,13738.99,High
POL000214,,Female,Property,72160.2,2,0,4125.35,6454.56,Medium
POL000215,39.0,Male,Health,61414.49,3,0,4721.73,14025.4,Medium
POL000216,45.0,Female,Health,106596.4,1,0,3896.66,3628.38,Low
POL000217,19.0,Other,Auto,81562.57,2,0,649.18,4562.08,Medium
POL000218,59.0,Male,Property,55395.9,2,0,3467.95,13111.56,Medium
POL000219,62.0,Female,Health,63231.12,1,0,1724.68,11810.88,Low
POL000220,79.0,Female,Life,103029.7,3,0,1395.36,4503.2,Medium
POL000221,74.0,Female,Life,115002.45,3,0,3923.75,10654.76,Medium
POL000222,70.0,Other,Life,113208.29,3,0,1802.94,1368.22,Medium
POL000223,23.0,Female,Property,93925.8,5,1,3275.73,29261.9,High
POL000224,45.0,Other,Life,68684.38,2,0,1269.05,13077.54,Medium
POL000225,45.0,Female,Life,30000.0,0,1,6150.79,19080.77,High
POL000226,61.0,Male,Health,82429.0,2,1,6616.06,10850.03,High
POL000227,,Male,Health,74954.28,1,0,1438.83,8044.17,Low
POL000228,37.0,Female,Life,78499.55,0,0,858.62,6037.07,Low
POL000229,47.0,Male,Life,76347.43,2,0,4717.69,8456.75,Medium
POL000230,79.0,Female,Health,41843.45,2,0,4988.88,1218.59,Medium
POL000231,28.0,Female,Auto,88935.21,2,0,2273.77,14722.2,Medium
POL000232,75.0,Male,Property,90805.41,3,0,1619.12,8496.37,Medium
POL000233,72.0,Female,Property,92058.47,0,1,6929.73,14981.26,High
POL000234,45.0,Female,Health,98664.43,3,0,1882.75,9669.8,Medium
POL000235,42.0,Female,Property,90101.29,0,0,3122.34,214.93,Low
POL000236,56.0,Male,Health,64749.26,1,0,2859.82,196.36,Low
POL000237,79.0,Male,,73229.08,3,0,2350.82,2769.28,Medium
POL000238,50.0,Male,,77278.12,0,0,2129.39,4136.84,Low
POL000239,88.0,Female,Health,77692.49,1,0,4902.04,4021.09,Low
POL000240,74.0,Male,Auto,99955.44,0,0,2751.22,6703.26,Low
POL000241,97.0,Female,Life,91091.72,0,0,539.89,7746.6,Low
POL000242,79.0,Male,Life,126933.59,1,0,3646.6,6390.06,Low
POL000243,74.0,Male,Auto,130161.72,3,1,6715.98,24305.57,High
POL000244,69.0,Female,Property,76991.24,1,0,1211.86,10085.08,Low
POL000245,30.0,Female,Property,30000.0,1,0,3687.54,3800.22,Low
POL000246,58.0,Male,Life,105920.81,4,1,4873.83,24980.22,High
POL000247,20.0,Male,Property,61490.59,2,0,3764.4,14354.35,Medium
POL000248,56.0,Male,Life,54962.9,1,0,1172.48,7129.42,Low
POL000249,23.0,Female,Life,65038.87,1,0,4930.51,7716.84,Low
POL000250,25.0,Female,Auto,63833.92,0,0,2801.33,10951.35,Low
POL000251,44.0,Male,Property,90306.75,3,0,548.14,7660.2,Medium
POL000252,26.0,Male,Auto,,1,0,4271.29,2244.22,Low
POL000253,79.0,Male,Life,48056.98,4,1,4844.25,19992.38,High
POL000254,54.0,Female,Life,83578.96,2,0,3935.11,7680.72,Medium
POL000255,50.0,Other,Life,,2,0,2920.74,14277.0,Medium
POL000256,68.0,Male,Health,91038.54,3,0,1483.03,1485.75,Medium
POL000257,59.0,Female,Health,55324.09,1,0,3379.95,8093.38,Low
POL000258,,,Health,50543.36,3,0,4315.91,9292.27,Medium
POL000259,,Male,Auto,62334.13,0,1,3246.33,10644.15,High
POL000260,32.0,Female,Life,80996.82,6,1,5646.28,13450.45,High
POL000261,108.0,Female,Property,112136.93,3,0,4888.68,4984.68,Medium
POL000262,71.0,Female,Auto,30000.0,0,0,3545.27,4011.89,Low
POL000263,49.0,Female,Auto,69481.78,1,0,4918.49,10231.81,Low
POL000264,49.0,Male,Auto,41683.04,1,0,1341.47,11057.64,Low
POL000265,41.0,Female,Property,33693.93,1,1,3282.08,9971.41,High
POL000266,58.0,Male,Life,99173.92,2,0,952.14,12408.6,Medium
POL000267,69.0,Female,Health,88615.61,0,0,1447.08,7327.0,Low
POL000268,66.0,Male,Life,86235.84,1,0,987.54,4018.12,Low
POL000269,79.0,Female,Life,98025.65,2,0,1728.66,4566.32,Medium
POL000270,66.0,Male,Auto,63007.03,1,0,3111.84,4026.71,Low
POL000271,75.0,Male,Auto,64184.06,5,1,5581.08,21928.04,High
POL000272,69.0,Female,Auto,129643.27,4,1,4939.19,8598.93,High
POL000273,29.0,Male,Health,68835.72,2,0,1208.93,14087.08,Medium
POL000274,79.0,Female,Health,93378.3,1,0,1804.18,4177.97,Low
POL000275,56.0,Male,Health,75159.54,3,0,2045.0,4855.74,Medium
POL000276,19.0,Male,Life,30000.0,2,1,5175.84,21291.77,High
POL000277,,,Auto,30000.0,2,1,3624.48,12419.94,High
POL000278,66.0,Male,Property,60525.39,2,0,1075.65,3838.11,Medium
POL000279,54.0,Female,Life,101402.53,6,0,4431.87,6089.74,High
POL000280,66.0,Male,Health,94707.29,1,0,4472.13,7485.04,Low
POL000281,73.0,Female,Property,97851.93,0,0,4033.53,10086.74,Low
POL000282,34.0,Female,Property,50323.85,0,0,2216.04,2959.14,Low
POL000283,76.0,Male,Auto,115396.81,0,0,4607.7,8390.64,Low
POL000284,66.0,Female,Property,50877.67,2,0,2477.01,10956.78,Medium
POL000285,19.0,Female,Health,80320.61,4,1,6180.83,10316.39,High
POL000286,19.0,Female,Auto,74741.19,1,0,2457.08,5333.05,Low
POL000287,45.0,Male,Property,70653.15,0,0,2668.5,3156.27,Low
POL000288,71.0,Male,Auto,108464.8,2,0,4371.29,1754.38,Medium
POL000289,40.0,Female,Property,57372.24,0,0,504.24,11367.44,Low
POL000290,54.0,Female,Life,41259.87,0,0,1732.94,3676.95,Low
POL000291,49.0,Female,Life,75499.89,2,0,3397.43,5576.77,Medium
POL000292,50.0,Male,Health,65004.33,0,0,4648.69,3790.53,Low
POL000293,18.0,Female,Life,150000.0,1,0,556.47,752.99,Low
POL000294,36.0,Male,Life,91912.69,1,0,2589.34,10961.96,Low
POL000295,79.0,Female,Life,64766.49,3,1,5289.81,8713.06,High
POL000296,19.0,Male,Property,,1,0,4997.29,7194.28,Low
POL000297,70.0,Female,Property,30000.0,2,1,3710.77,24311.01,High
POL000298,61.0,Male,Auto,49369.52,3,0,1068.54,12712.85,Medium
POL000299,43.0,Male,Property,77873.54,1,0,2999.07,9315.09,Low
POL000300,49.0,Female,Life,110683.22,2,0,1193.04,13611.1,Medium
POL000301,23.0,Male,Property,103042.23,2,0,3767.56,3102.28,Medium
POL000302,49.0,Male,Health,80727.37,0,1,5621.88,25597.19,High
POL000303,72.0,Male,Auto,66920.81,4,0,3474.23,8168.87,High
POL000304,21.0,Female,Auto,81720.31,3,1,3396.61,11626.62,High
POL000305,72.0,Female,Property,62034.05,3,1,6721.59,20282.66,High
POL000306,114.0,Male,Life,117959.1,2,0,4085.39,958.83,Medium
POL000307,73.0,Female,Auto,70270.25,3,0,1762.51,12583.16,Medium
POL000308,117.0,Female,Health,72841.55,1,0,3159.71,5125.6,Low
POL000309,34.0,Male,Health,30000.0,1,1,3411.82,12152.76,High
POL000310,55.0,Female,Auto,70114.13,1,0,1494.54,265.01,Low
POL000311,41.0,Female,Life,95912.1,3,1,4723.27,8310.7,High
POL000312,22.0,Female,Life,48306.94,2,0,2330.91,7057.66,Medium
POL000313,69.0,Male,Property,56231.99,2,0,4498.48,14100.31,Medium
POL000314,51.0,Female,,94817.78,4,1,6920.92,21699.69,High
POL000315,23.0,Female,Auto,38083.57,3,0,810.4,7491.47,Medium
POL000316,39.0,Male,Property,101445.03,1,0,2366.25,6225.91,Low
POL000317,28.0,Male,Property,61696.4,1,0,1102.85,11902.44,Low
POL000318,65.0,Male,Property,65285.79,2,0,4975.17,8081.09,Medium
POL000319,33.0,Male,Health,46903.04,1,0,607.01,6952.18,Low
POL000320,50.0,Female,Property,84451.16,1,0,3027.69,14207.61,Low
POL000321,26.0,Male,Auto,136496.8,1,0,2139.86,5731.36,Low
POL000322,77.0,Male,Life,94537.43,0,0,3230.94,7401.28,Low
POL000323,76.0,Female,Property,53392.87,1,0,2925.88,8356.7,Low
POL000324,23.0,Male,Life,103390.51,2,0,4631.4,902.59,Medium
POL000325,33.0,Other,Property,67083.01,2,0,1321.08,7945.03,Medium
POL000326,86.0,Male,Auto,109362.12,2,1,3708.35,16453.57,High
POL000327,20.0,Male,Health,95166.91,1,0,4416.62,9788.68,Low
POL000328,37.0,Male,Auto,30000.0,4,1,5341.37,14737.16,High
POL000329,77.0,Male,Health,49898.01,2,0,2098.02,10698.35,Medium
POL000330,76.0,Male,Property,98609.63,1,0,4803.34,6047.34,Low
POL000331,124.0,Female,Property,78791.43,0,0,2042.81,1661.34,Low
POL000332,36.0,Other,Health,49406.1,1,0,3129.8,6643.38,Low
POL000333,43.0,Male,Auto,59160.26,0,0,3500.23,8327.58,Low
POL000334,20.0,Female,Auto,30000.0,1,0,4972.74,470.27,Low
POL000335,36.0,Female,Health,72790.67,1,0,1266.43,8255.71,Low
POL000336,37.0,Female,Property,130267.24,3,0,1826.13,6049.22,Medium
POL000337,49.0,Male,Health,95123.33,2,0,2957.9,7229.02,Medium
POL000338,24.0,Male,Property,129760.43,2,1,4775.33,20759.7,High
POL000339,69.0,Male,Health,97059.93,0,1,3855.64,24248.38,High
POL000340,58.0,Female,Property,100686.98,1,0,4001.72,13239.43,Low
POL000341,50.0,Female,Health,124351.97,2,0,4456.6,11838.95,Medium
POL000342,57.0,Male,Life,84431.58,1,0,2013.03,9279.06,Low
POL000343,56.0,Male,Property,70319.32,1,0,1276.49,9436.0,Low
POL000344,35.0,Female,Auto,100816.44,1,0,3585.7,13441.32,Low
POL000345,57.0,Female,Health,111346.01,1,0,3589.38,7247.47,Low
POL000346,18.0,Other,Auto,63000.88,1,0,2470.54,8136.27,Low
POL000347,28.0,Female,Health,56960.77,1,0,3171.25,12916.66,Low
POL000348,87.0,Male,Auto,78471.4,0,1,6336.0,24395.72,High
POL000349,74.0,Female,Auto,,3,1,4157.64,10206.07,High
POL000350,42.0,Female,Health,94952.28,2,0,3528.12,4648.41,Medium
POL000351,85.0,Male,Health,39395.81,2,1,3390.69,27147.88,High
POL000352,40.0,Female,Auto,122790.15,3,0,3758.94,1897.11,Medium
POL000353,48.0,Female,Auto,58970.88,1,0,3233.68,10238.53,Low
POL000354,47.0,Male,Auto,68373.38,1,0,880.19,7020.27,Low
POL000355,93.0,Female,Property,52433.64,3,0,3123.02,8965.32,Medium
POL000356,52.0,Female,Property,142458.22,1,0,4503.33,12708.36,Low
POL000357,24.0,,Life,,5,1,5659.8,22530.34,High
POL000358,77.0,Male,Property,53725.62,0,0,2295.73,7507.8,Low
POL000359,33.0,Male,Property,96598.09,1,0,2268.14,8379.79,Low
POL000360,43.0,Female,Health,94228.39,1,0,1643.25,4274.61,Low
POL000361,65.0,Male,Life,70306.82,2,0,3085.34,4195.05,Medium
POL000362,74.0,Female,Life,96015.17,2,0,1267.81,7940.72,Medium
POL000363,69.0,Female,Property,54367.7,1,0,4623.57,3931.73,Low
POL000364,77.0,Male,Health,62677.04,1,0,1200.38,12931.91,Low
POL000365,66.0,Female,Health,30000.0,3,1,6759.11,16688.91,High
POL000366,19.0,Female,Life,41901.22,1,0,552.31,3241.7,Low
POL000367,18.0,Male,Health,120190.77,5,1,6168.03,9557.18,High
POL000368,65.0,Female,Auto,116035.72,1,0,662.99,2266.13,Low
POL000369,79.0,,Property,,3,0,4447.22,2865.01,Medium
POL000370,29.0,Female,Auto,116573.29,3,1,3630.16,22108.56,High
POL000371,22.0,Female,Life,70998.14,1,0,1512.7,3075.23,Low
POL000372,54.0,Male,Life,68914.74,1,0,1121.01,11260.12,Low
POL000373,49.0,Female,,76412.77,1,0,1454.09,6120.03,Low
POL000374,76.0,Female,Health,71876.96,1,1,4470.08,22497.46,High
POL000375,,Female,Life,69620.09,2,0,1566.23,3965.23,Medium
